skills,salary
"MS Visual Studio,Java,Разработка ПО,Разработка нового продукта,SQL,PostgreSQL",з/п не указана
"Python,Linux,SQL,XML,Функциональное тестирование",з/п не указана
,з/п не указана
, з/п не указана
"Python,Agile Project Management,PostgreSQL,Scrum,REST,Node.js,Базы данных,Git,ООП",з/п не указана
"JavaScript,Python,SVN,Node.js","от ,180 000, до ,180 000, ,руб., на руки"
,з/п не указана
"Python,Qt,Linux,C++,ООП","от ,60 000, до ,80 000, ,руб., на руки"
, з/п не указана
"Тестирование,Схемотехника электронного оборудования,Монтаж инженерных систем,Автоматизация технологических процессов",з/п не указана
"JavaScript,Python,SVN,Node.js,Redmine","от ,150 000, до ,150 000, ,руб., на руки"
"Python,JavaScript,Функциональное тестирование",з/п не указана
, з/п не указана
,з/п не указана
, з/п не указана
, з/п не указана
,з/п не указана
"ASP.NET,C#,.NET Framework,Информационные технологии,Обучение и развитие,ITIL/ITSM,WebTutor,RabbitMQ,Java 8,Concurrency,Spring Framework,Hibernate ORM,REST,JSON API,JDBC,JAXB,XML,Webservices,ORACLE,Python,Web API",з/п не указана
"Qt,Git,C++,Linux,ООП,Разработка ПО",з/п не указана
,з/п не указана
,з/п не указана
, з/п не указана
"JUnit,Python,Redmine,Java,Git,Тестирование,Espresso,Mockito,Automation",з/п не указана
iOS,з/п не указана
"SQL,HTML,CSS,Data Mining,MS SQL,Аналитические исследования,elk,ElasticSearch,Системный анализ,Аналитика,Kibana",з/п не указана
"Java,Spring Framework,Java SE,Java EE,J2SE,J2EE",з/п не указана
"Python,Linux,Java,SQL,Eclipse,REST,API,JSON,Docker",з/п не указана
"Python,QA",з/п не указана
,з/п не указана
,з/п не указана
"PHP,MySQL,SQL,C#,Python,Git,ООП,C++,Java,Ruby,Golang",з/п не указана
,з/п не указана
Android,з/п не указана
"jQuery,JavaScript,MySQL,1С-Битрикс,HTML5","от ,130 000, до ,130 000, ,руб., до вычета налогов"
"Тестирование,API,Python,Java,PHP,Linux",з/п не указана
"Python,Pytest,selenium,автоматизированное тестирование,API",з/п не указана
"Тестирование,Atlassian Jira,Atlassian Confluence,Проведение тестирований,настройка тестовых окружений,Обновление тестовых окружений,reales notes",з/п не указана
,з/п не указана
, з/п не указана
,до 180 000 руб. до вычета налогов
"C++,Go,Python,Sailfish,Development",з/п не указана
"Python,Django Framework,PostgreSQL,Redis,Git,sentry,java script,AngularJS,CSS","до ,130 000, ,руб., на руки"
"Python,Django Framework,SQL,PostgreSQL,Greenplum,Clickhouse","от ,120 000, ,руб., на руки"
,"от ,90 000, до ,120 000, ,руб., до вычета налогов"
"Python,Django Framework,Linux",з/п не указана
Python,з/п не указана
"Python,Git,SQL,Unix,IT",з/п не указана
"JavaScript,jQuery,Python,Git,PostgreSQL",з/п не указана
"UI,Linux",з/п не указана
"Golang,machine learning,Python,PHP,IT",з/п не указана
, з/п не указана
"Python,JavaScript,Git,Node.js,Django Framework",з/п не указана
"Python,Git,SQL,Linux,Unix",з/п не указана
"Python,Django Framework,MongoDB,PostgreSQL,Redis",з/п не указана
"Английский — A1 — Начальный,Python,Linux,JavaScript,C++,Git,REST,Openstack,Golang",з/п не указана
,з/п не указана
, з/п не указана
"JavaScript,Node.js,Git,Python,HTML5",з/п не указана
"Python,Django Framework,Redis,SQL",з/п не указана
"Английский — B1 — Средний,Vue.JS,JavaScript,TypeScript",з/п не указана
"Python,Git,PostgreSQL,Linux,Flask,Docker",з/п не указана
"Git,Linux,Atlassian Jira,Redmine,Selenium IDE,Автоматизация,Функциональное тестирование,Тестирование пользовательского интерфейса,Scrum,Тестирование,QA","от ,130 000, ,руб., на руки"
"docker,Flask,RabbitMQ,PostgreSQL,Cassandra,Redis,clickhouse",з/п не указана
"Python,Linux,CSS,HTML,Redmine,C++,C/C++,Git,shell,TCP/IP",з/п не указана
"Английский — B1 — Средний,Python,Аналитическое мышление,A/B тесты,SQL,Анализ данных,Визуализация,Бизнес-анализ","от ,120 000, ,руб., на руки"
"Git,SQL,Flask,Unit Testing,Английский язык,Python 3,Python,Django Framework",з/п не указана
, з/п не указана
,з/п не указана
"Python,Django Framework,Redis",з/п не указана
"Английский — B1 — Средний,PostgreSQL,Node.js,RabbitMQ,MongoDB,SQL,Python,Event soursing","от ,170 000, ,руб., на руки"
"Пользователь ПК,HTML,Обучение персонала,Креативность,Создание сайтов,JavaScript,Bootstrap,JSON,Работа в команде",з/п не указана
"JavaScript,Git,PostgreSQL,HTML5,CSS3,Веб-программирование,Teamleading,Bootstrap,Sass,Python,jQuery,Ruby,Постановка задач разработчикам",з/п не указана
"Git,WebGL,Python,Tornado","от ,40 000, до ,100 000, ,руб., на руки"
"JavaScript,HTML,CSS,React,Redux,Webpack,Babel,Node.js,MongoDB,Git",з/п не указана
"Git,PostgreSQL,Python,ООП,MQTT,Python3",з/п не указана
, з/п не указана
"Python,Linux,SQL,C++,ООП,Docker,Kubernetes,OpenShift,Ansible,React/Vue,Data Science,Machine Learning,CI/CD,Pipeline",з/п не указана
, з/п не указана
, з/п не указана
,"от ,150 000, до ,180 000, ,руб., на руки"
"Linux,Python,Scrum,SQL,Java,PostgreSQL,PHP,Git",з/п не указана
,з/п не указана
"JavaScript,Node.js","от ,180 000, до ,250 000, ,руб., на руки"
"Golang,Java,C++,MongoDB,Linux,AWS,SCALA","от ,270 000, ,руб., до вычета налогов"
"Python,REST,API,SQL",з/п не указана
"Python,PostgreSQL,MongoDB,REST,HTTP,Git,Linux","от ,70 000, до ,120 000, ,руб., на руки"
"JavaScript,jQuery,MySQL,PostgreSQL,PHP",з/п не указана
"Python,Django Framework,Nginx,PostgreSQL,Machine Learning,Docker","от ,95 000, ,руб., на руки"
,"от ,100 000, до ,220 000, ,руб., на руки"
, з/п не указана
"Zend Framework,PHP,MySQL,Git,Magento","до ,80 000, ,руб., до вычета налогов"
"MongoDB,Python,Git,PostgreSQL,Linux",з/п не указана
,"от ,120 000, до ,150 000, ,руб., на руки"
"PostgreSQL,Python,Hibernate ORM,SCALA,Java SE",з/п не указана
"MongoDB,Python,Git,PostgreSQL,Linux",з/п не указана
"JavaScript,Python,SVN,Node.js,Git","от ,120 000, до ,120 000, ,руб., на руки"
"Java,REST,Git,Android,Kotlin","от ,170 000, до ,300 000, ,руб., на руки"
"JSON API,React,ExtJS,CSS,HTML5,CSS3","от ,100 000, до ,150 000, ,руб., на руки"
,з/п не указана
, з/п не указана
"Python,JavaScript,Linux,Git,Django Framework",з/п не указана
"Английский — C1 — Продвинутый,Python,SQL,REST APIs,Git,NoSQL,Scrum,Docker,Cloud","от ,4 200, до ,6 250, ,EUR, до вычета налогов"
,"от ,150 000, ,руб., на руки"
"Git,Python,Less,CSS3,MS PowerPoint,React,ExtJS,Bootstrap,jsonrpc 2,restfull,rake,grunt,SSR",з/п не указана
"Python,Git,jQuery,JavaScript,Linux,Ajax,PHP,Unit Testing",з/п не указана
"Искусственный интеллект,Big Data,Data science,Python,Lead engineer,REST API,Django,Celery,asyncio,Nginx,Docker,devops,Redis,MongoDB,Elasticsearch,RabbitMQ,NoSQL,SocialNetwork,gevent","от ,150 000, ,руб., на руки"
